,college,State,City,Is Open Admission,Has Data,Average GPA,GPA Standard Deviation,Acceptance Rate,SAT Reading 25th,SAT Math 25th,SAT Composite 25th,SAT Reading 75th,SAT Math 75th,SAT Composite 75th,Average SAT Score,1st Rank SAT,2nd Rank SAT,3rd Rank SAT,4th Rank SAT,5th Rank SAT,ACT Reading SAT25th,ACT Math 25th,ACT Composite 25th,ACT Reading 75th,ACT Math 75th,ACT Composite 75th,Average ACT Score,1st Rank ACT,2nd Rank ACT,3rd Rank ACT,4th Rank ACT,5th Rank ACT,Average Class Rank,Class Rank Standard Deviation,1st Rank SAT Level,2nd Rank SAT Level,3rd Rank SAT Level,4th Rank SAT Level,1st Rank ACT Level,2nd Rank ACT Level,3rd Rank ACT Level,4th Rank ACT Level,Test Scores,High School GPA,High School Class Rank,Completion of College Preparatory Program,Recommendations,Demonstration of Competencies,AP Credit,Dual Credit,Credit for Life Experiences
68,Atlantic Cape Community College,New Jersey,Mays Landing,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67.626,0.527,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
69,Auburn University,Alabama,Auburn University,False,True,3.6390000000000002,0.47200000000000003,80.7,580,570,1150,650,670,1320,1240,88,81,71,60,60,25,23,25,33,28,31,28,88,81,71,60,60,74.565,0.396,1320,1235,1150,1065,31,28,25,22,Required,Required,Recommended,Required,Recommended,Neither required nor recommended,Yes,Yes,No
70,Auburn University at Montgomery,Alabama,Montgomery,False,True,3.234,0.47100000000000003,90.4,470,450,920,570,580,1150,1040,94,90,84,76,76,19,16,19,24,22,23,21,94,90,84,76,76,63.855,0.514,1150,1035,920,805,23,21,19,17,Required,Required,Recommended,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
71,Augusta Technical College,Georgia,Augusta,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.855,0.514,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
72,Aurora University,Illinois,Aurora,False,True,3.214,0.546,86.7,485,480,965,560,570,1130,1050,92,87,80,70,70,17,17,18,23,24,23,20,93,87,81,74,74,62.20367794645275,13.69362479452249,1130,1047,965,883,23,20,18,16,Required,Required,Neither required nor recommended,Required,Recommended,Neither required nor recommended,Yes,Yes,No
73,Austin College,Texas,Sherman,False,True,3.56,0.503,51.3,560,550,1110,660,650,1310,1210,64,51,38,26,26,22,22,24,30,27,29,26,66,51,41,31,31,80.293,0.587,1310,1210,1110,1010,29,26,24,22,Considered but not required,Required,Recommended,Recommended,Required,Recommended,Yes,Yes,No
74,Austin Community College District,Texas,Austin,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80.293,0.587,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
75,Austin Peay State University,Tennessee,Clarksville,False,True,3.233,0.41400000000000003,95,490,470,960,570,600,1170,1070,97,95,92,87,87,17,17,19,24,23,24,21,97,95,93,89,89,65.188,0.462,1170,1065,960,855,24,21,19,17,Required,Required,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,Yes
76,Ave Maria University,Florida,Ave Maria,False,True,3.4939999999999998,0.638,84.9,530,510,1040,630,600,1230,1140,91,85,77,66,66,20,18,20,28,26,28,24,91,85,77,66,66,64.52740833297918,12.429424688270736,1230,1135,1040,945,28,24,20,16,Required,Required,Neither required nor recommended,Recommended,Recommended,Neither required nor recommended,Yes,Yes,No
77,Averett University,Virginia,Danville,False,True,3.213,0.583,64.9,430,430,860,530,530,1060,960,76,65,52,39,39,N/A,N/A,16,N/A,N/A,20,18,76,65,52,39,39,66.90325097942718,13.449390299608465,1060,960,860,760,20,18,16,14,Required,Required,Required,Considered but not required,Recommended,Recommended,Yes,Yes,Yes
78,Aviation Institute of Maintenance-Manassas,Virginia,Manassas,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.90325097942718,13.449390299608465,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
79,Avila University,Missouri,Kansas City,False,True,3.383,0.485,41.1,505,500,1005,605,555,1160,1080,54,41,29,19,19,17,17,19,23,23,23,21,54,41,29,19,19,33.957,0.591,1160,1082,1005,928,23,21,19,17,Required,Required,Neither required nor recommended,Recommended,Recommended,Neither required nor recommended,Yes,Yes,Yes
80,Azusa Pacific University,California,Azusa,False,True,3.568,0.556,67.5,520,510,1030,630,630,1260,1150,78,67,54,41,41,19,18,20,27,26,26,23,78,67,54,41,41,74.929,0.579,1260,1145,1030,915,26,23,20,17,Considered but not required,Required,Recommended,Recommended,Required,Neither required nor recommended,Yes,Yes,Yes
81,Babson College,Massachusetts,Wellesley,False,True,3.569,0.43,26.4,620,650,1270,690,760,1450,1360,37,26,17,11,11,28,27,27,34,32,32,29,40,26,19,13,13,85.379,0.406,1450,1360,1270,1180,32,29,27,25,Required,Required,Recommended,Required,Required,Considered but not required,Yes,No,No
82,Bacone College,Oklahoma,Muskogee,False,True,2.8280000000000003,0.585,72,412,350,762,530,455,985,870,81,72,60,47,47,11,14,13,16,17,18,15,83,72,63,52,52,62.33021754092193,9.967130863953772,985,873,762,651,18,15,13,11,Required,Required,Considered but not required,Neither required nor recommended,Recommended,Neither required nor recommended,Yes,Yes,No
83,Baker University,Kansas,Baldwin City,False,True,3.479,0.489,88,490,510,1000,580,590,1170,1090,93,88,81,72,72,20,19,20,25,25,25,22,93,88,83,76,76,67.303,0.592,1170,1085,1000,915,25,22,20,18,Required,Required,Recommended,Recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,Yes
84,Bakersfield College,California,Bakersfield,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67.303,0.592,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
85,Baltimore City Community College,Maryland,Baltimore,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67.303,0.592,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
86,Baptist University of the Americas,Texas,San Antonio,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67.303,0.592,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
87,Barnard College,New York,New York,False,True,3.743,0.449,11.8,670,670,1340,750,770,1520,1430,19,12,7,5,5,33,27,31,35,33,34,32,22,12,9,6,6,91.13,0.496,1520,1430,1340,1250,34,32,31,30,Required,Neither required nor recommended,Neither required nor recommended,Required,Required,Neither required nor recommended,Yes,No,No
88,Barry University,Florida,Miami,False,True,3.061,0.502,51,480,450,930,550,530,1080,1010,64,51,38,26,26,15,16,17,21,20,21,19,64,51,38,26,26,62.98903788453868,10.5490807244928,1080,1005,930,855,21,19,17,15,Required,Required,Recommended,Recommended,Recommended,Recommended,Yes,Yes,Yes
89,Barstow Community College,California,Barstow,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.98903788453868,10.5490807244928,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
90,Barton College,North Carolina,Wilson,False,True,3.152,0.491,45.3,470,470,940,570,560,1130,1040,58,45,32,22,22,16,17,18,21,23,22,20,58,45,32,22,22,64.163,0.55,1130,1035,940,845,22,20,18,16,Required,Required,Recommended,Recommended,Recommended,Neither required nor recommended,Yes,Yes,No
91,Barton County Community College,Kansas,Great Bend,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.163,0.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
92,Bates Technical College,Washington,Tacoma,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.163,0.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
93,Baton Rouge Community College,Louisiana,Baton Rouge,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.163,0.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
94,Bay de Noc Community College,Michigan,Escanaba,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.163,0.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
95,Bay Mills Community College,Michigan,Brimley,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.163,0.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
96,Baylor University,Texas,Waco,False,True,3.739,0.5730000000000001,45.3,600,600,1200,680,700,1380,1290,58,45,32,22,22,26,25,26,34,29,32,29,58,45,32,22,22,81.325,0.543,1380,1290,1200,1110,32,29,26,23,Required,Required,Required,Recommended,Considered but not required,Considered but not required,Yes,Yes,Yes
97,Beaufort County Community College,North Carolina,Washington,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.325,0.543,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
98,Becker College,Massachusetts,Worcester,False,True,3.145,0.547,69.9,480,470,950,590,580,1170,1060,80,70,58,45,45,15,15,16,27,26,24,20,80,70,58,45,45,57.142,0.494,1170,1060,950,840,24,20,16,12,Considered but not required,Required,Considered but not required,Considered but not required,Considered but not required,Considered but not required,Yes,Yes,Yes
99,Beckfield College-Florence,Kentucky,Florence,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57.142,0.494,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
100,Bellarmine University,Kentucky,Louisville,False,True,3.498,0.583,66.2,540,520,1060,640,620,1260,1160,77,66,53,40,40,22,20,22,29,26,28,25,77,66,53,40,40,70.709,0.56,1260,1160,1060,960,28,25,22,19,Required,Required,Recommended,Required,Required,Neither required nor recommended,Yes,Yes,Yes
101,Bellevue College,Washington,Bellevue,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70.709,0.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
102,Bellevue University,Nebraska,Bellevue,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70.709,0.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
103,Bellingham Technical College,Washington,Bellingham,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70.709,0.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
104,Belmont Abbey College,North Carolina,Belmont,False,True,3.202,0.537,80.6,490,480,970,610,610,1220,1100,88,81,71,60,60,17,17,19,25,25,26,22,89,81,73,63,63,58.066,0.428,1220,1095,970,845,26,22,19,16,Considered but not required,Required,Recommended,Recommended,Recommended,Neither required nor recommended,Yes,Yes,Yes
105,Belmont University,Tennessee,Nashville,False,True,3.529,0.481,83.8,580,550,1130,670,650,1320,1230,90,84,76,64,64,24,22,24,33,27,29,26,91,84,77,69,69,75.407,0.5730000000000001,1320,1225,1130,1035,29,26,24,22,Required,Required,Required,Required,Recommended,Neither required nor recommended,Yes,Yes,Yes
106,Beloit College,Wisconsin,Beloit,False,True,3.429,0.518,62,550,530,1080,680,700,1380,1230,74,62,49,36,36,24,21,24,33,28,30,27,74,62,49,36,36,74.973,0.47400000000000003,1380,1230,1080,930,30,27,24,21,Considered but not required,Required,Considered but not required,Recommended,Required,Neither required nor recommended,Yes,Yes,No
107,Benedict College,South Carolina,Columbia,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74.973,0.47400000000000003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
108,Benedictine College,Kansas,Atchison,False,True,3.491,0.595,97.1,550,510,1060,650,660,1310,1190,98,97,95,92,92,21,19,21,31,27,28,24,98,97,95,93,93,64.6586396743503,12.728356281702077,1310,1185,1060,935,28,24,21,18,Required,Required,Recommended,Recommended,Required,Recommended,Yes,Yes,Yes
109,Benedictine University,Illinois,Lisle,False,True,3.279,0.628,41.7,480,510,990,555,608,1163,1080,55,42,30,20,20,17,17,19,25,25,25,22,55,42,30,20,20,65.0158627170485,13.328225353679239,1163,1076,990,904,25,22,19,16,Required,Required,Considered but not required,Considered but not required,Considered but not required,Considered but not required,Yes,No,Yes
110,Benjamin Franklin Institute of Technology,Massachusetts,Boston,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.0158627170485,13.328225353679239,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
111,Bentley University,Massachusetts,Waltham,False,True,3.735,0.614,46.7,600,630,1230,680,730,1410,1320,60,47,34,23,23,25,26,27,33,31,31,29,60,47,34,23,23,85.188,0.401,1410,1320,1230,1140,31,29,27,25,Required,Recommended,Recommended,Required,Required,Neither required nor recommended,Yes,Yes,Yes
112,Bergen Community College,New Jersey,Paramus,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85.188,0.401,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
113,Berkeley City College,California,Berkeley,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85.188,0.401,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
114,Berkeley College-New York,New York,New York,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85.188,0.401,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
115,Berkeley College-Woodland Park,New Jersey,Woodland Park,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85.188,0.401,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
116,Berkshire Community College,Massachusetts,Pittsfield,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85.188,0.401,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
117,Berry College,Georgia,Mount Berry,False,True,3.657,0.515,70.6,560,530,1090,670,650,1320,1210,81,71,59,46,46,24,22,24,32,27,30,27,81,71,59,46,46,76.613,0.5700000000000001,1320,1205,1090,975,30,27,24,21,Required,Required,Recommended,Required,Required,Neither required nor recommended,Yes,Yes,No
118,Bethany College,West Virginia,Bethany,False,True,3.086,0.448,95.3,440,450,890,570,550,1120,1010,97,95,92,87,87,18,16,16,25,23,23,19,97,95,92,88,88,57.506,0.517,1120,1005,890,775,23,19,16,13,Required,Required,Recommended,Required,Recommended,Recommended,Yes,Yes,No
119,Bethany Lutheran College,Minnesota,Mankato,False,True,3.388,0.468,72.6,460,490,950,570,580,1150,1050,82,73,61,48,48,18,18,20,25,26,26,23,82,73,61,48,48,63.238,0.452,1150,1050,950,850,26,23,20,17,Required,Required,Neither required nor recommended,Recommended,Recommended,Neither required nor recommended,Yes,Yes,No
120,Bethel College-North Newton,Kansas,North Newton,False,True,3.394,0.404,57.5,460,470,930,550,580,1130,1030,69,57,44,31,31,16,17,18,22,25,24,21,69,57,44,31,31,61.963,0.511,1130,1030,930,830,24,21,18,15,Required,Required,Considered but not required,Recommended,Recommended,Neither required nor recommended,Yes,Yes,Yes
121,Bethel University,Minnesota,Saint Paul,False,True,3.523,0.46900000000000003,78.5,520,510,1030,640,650,1290,1160,86,79,69,57,57,21,21,21,27,27,27,24,86,79,69,57,57,74.346,0.428,1290,1160,1030,900,27,24,21,18,Required,Required,Neither required nor recommended,Neither required nor recommended,Considered but not required,Neither required nor recommended,Yes,Yes,Yes
122,Bethel University,Tennessee,McKenzie,False,True,3.049,0.455,90.3,470,475,945,543,560,1103,1020,94,90,84,76,76,14,15,16,20,18,20,18,94,90,84,76,76,66.82790000269499,12.919327265059088,1103,1024,945,866,20,18,16,14,Considered but not required,Required,Required,Recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,Yes
123,Bethune-Cookman University,Florida,Daytona Beach,False,True,2.887,0.638,84.1,440,400,840,520,490,1010,930,90,84,76,64,64,13,15,15,18,17,18,16,91,84,79,72,72,52.443,0.449,1010,925,840,755,18,16,15,14,Required,Required,Recommended,Considered but not required,Considered but not required,Considered but not required,Yes,Yes,No
124,Beulah Heights University,Georgia,Atlanta,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52.443,0.449,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
125,Bevill State Community College,Alabama,Jasper,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52.443,0.449,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
126,Big Bend Community College,Washington,Moses Lake,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52.443,0.449,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
127,Big Sandy Community and Technical College,Kentucky,Prestonsburg,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52.443,0.449,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
128,Biola University,California,La Mirada,False,True,3.517,0.48,69.9,550,530,1080,660,650,1310,1200,80,70,58,45,45,21,19,21,29,27,28,24,81,70,60,48,48,76.293,0.513,1310,1195,1080,965,28,24,21,18,Required,Required,Neither required nor recommended,Recommended,Neither required nor recommended,Neither required nor recommended,Yes,Yes,Yes
129,Birmingham-Southern College,Alabama,Birmingham,False,True,3.457,0.5760000000000001,53.8,570,540,1110,660,650,1310,1210,67,54,41,29,29,22,20,22,30,27,29,25,68,54,43,32,32,73.963,0.526,1310,1210,1110,1010,29,25,22,19,Considered but not required,Required,Considered but not required,Neither required nor recommended,Considered but not required,Neither required nor recommended,Yes,Yes,No
130,Bishop State Community College,Alabama,Mobile,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73.963,0.526,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
131,Bismarck State College,North Dakota,Bismarck,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73.963,0.526,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
132,Black Hawk College,Illinois,Moline,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73.963,0.526,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
133,Black Hills State University,South Dakota,Spearfish,False,True,3.209,0.579,83.9,490,480,970,590,580,1170,1070,90,84,76,64,64,17,17,18,24,25,24,21,90,84,76,64,64,63.23631559957131,10.932848421605676,1170,1070,970,870,24,21,18,15,Required,Required,Required,Required,Neither required nor recommended,Neither required nor recommended,Yes,Yes,No
134,Black River Technical College,Arkansas,Pocahontas,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.23631559957131,10.932848421605676,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
135,Blackburn College,Illinois,Carlinville,False,True,3.371,0.41200000000000003,57.1,460,450,910,570,540,1110,1010,69,57,44,31,31,16,16,18,23,22,23,20,71,57,46,36,36,63.98,0.484,1110,1010,910,810,23,20,18,16,Required,Required,Required,Recommended,Recommended,Recommended,Yes,Yes,No
136,Blackfeet Community College,Montana,Browning,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.98,0.484,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
137,Blackhawk Technical College,Wisconsin,Janesville,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.98,0.484,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
138,Bladen Community College,North Carolina,Dublin,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.98,0.484,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
139,Blinn College,Texas,Brenham,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.98,0.484,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
